Age,Gender,Location_Type,Income_Level,Awareness_of_Mental_Health,Stigma_Level,Perception_of_Therapy,Need_for_Services,Common_Issue,Service_Type,Average_Cost_Per_Session,Affordability_Perception,Platform_Used,User_Satisfaction_Rating,Corporate_Wellness_Program,Government_Initiative_Awareness,NGO_Initiative_Participation,Projected_Market_Growth
19,Female,Rural,Low,1,High,Neutral,1,Stress,Online,2000,Expensive,Talkspace,1,0,0,1,7.812863611
38,Male,Urban,Low,0,Moderate,Positive,0,Stress,Online,500,Expensive,Wysa,5,0,1,0,4.854503944
53,Male,Rural,Low,1,Low,Positive,0,Anxiety,Online,500,Expensive,Talkspace,1,0,0,0,5.936210775
39,Female,Urban,High,0,High,Positive,1,Stress,Online,1000,Affordable,Wysa,5,0,1,0,5.881848216
29,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Other,Online,1500,Affordable,BetterHelp,3,0,0,0,4.18708775
47,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Stress,In-Person,1500,Expensive,No Platform Used,1,1,0,0,6.23463875
42,Male,Urban,Middle,1,Moderate,Negative,1,Anxiety,Online,2000,Expensive,BetterHelp,3,1,1,0,7.919118665
63,Male,Urban,Middle,1,High,Positive,0,Stress,Online,500,Affordable,YourDost,3,0,1,1,8.434936586
18,Male,Urban,Low,1,Low,Positive,1,Anxiety,Online,1500,Affordable,Talkspace,3,0,0,1,7.179625376
35,Male,Urban,Middle,0,Moderate,Neutral,1,Anxiety,In-Person,750,Expensive,No Platform Used,1,0,0,1,7.750673377
33,Other,Semi-Urban,Low,1,Low,Positive,0,Depression,In-Person,2000,Affordable,Talkspace,5,0,0,0,6.662876606
64,Female,Urban,Low,0,Moderate,Neutral,0,Anxiety,In-Person,750,Affordable,No Platform Used,3,1,1,0,5.285839071
18,Male,Urban,Low,1,Low,Neutral,1,Stress,Online,1500,Affordable,No Platform Used,5,0,0,1,6.764685777
22,Male,Rural,Low,1,High,Positive,1,Stress,Online,2000,Affordable,BetterHelp,3,0,1,0,5.447359614
44,Male,Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,2000,Expensive,YourDost,2,0,0,0,6.035161889
52,Female,Semi-Urban,Low,0,Moderate,Negative,1,Depression,In-Person,1500,Expensive,No Platform Used,5,0,0,1,4.579120559
34,Male,Urban,Low,1,Moderate,Positive,0,Anxiety,Online,500,Affordable,No Platform Used,5,0,0,0,6.530059261
52,Male,Urban,Middle,1,High,Positive,1,Anxiety,Online,1500,Affordable,No Platform Used,3,1,0,0,4.77086863
18,Male,Urban,Middle,1,High,Positive,1,Other,Online,1500,Expensive,YourDost,4,0,1,1,10.41423115
43,Female,Rural,Low,0,High,Neutral,1,Depression,In-Person,2000,Expensive,Wysa,3,0,1,0,8.111260206
60,Male,Rural,Middle,1,High,Neutral,1,Anxiety,Online,1000,Expensive,Wysa,3,0,1,1,5.951743844
59,Female,Semi-Urban,Low,0,Moderate,Neutral,1,Depression,Online,1500,Affordable,Wysa,2,1,0,1,6.322999904
41,Male,Urban,Low,1,High,Positive,1,Anxiety,Online,500,Expensive,No Platform Used,5,0,1,0,8.912727106
21,Male,Urban,Low,0,High,Positive,1,Depression,Online,2000,Affordable,Wysa,2,1,1,0,4.661730142
54,Male,Urban,Low,1,Low,Positive,0,Stress,Online,1000,Expensive,Talkspace,5,1,0,0,10.00146592
24,Female,Urban,High,0,Moderate,Positive,1,Anxiety,Online,500,Affordable,No Platform Used,2,0,0,1,3.602381942
49,Female,Urban,Middle,1,Moderate,Neutral,0,Stress,Online,1000,Expensive,Talkspace,3,0,0,0,4.788928123
24,Male,Urban,Low,1,Moderate,Neutral,1,Stress,Online,2000,Affordable,YourDost,2,0,0,1,7.315504274
19,Female,Urban,Middle,0,Moderate,Neutral,0,Anxiety,Online,750,Affordable,No Platform Used,2,0,1,0,4.979370813
47,Male,Urban,High,0,High,Negative,1,Anxiety,In-Person,1000,Expensive,No Platform Used,2,1,1,0,9.398750512
51,Female,Urban,Low,1,High,Positive,1,Anxiety,Online,2000,Affordable,No Platform Used,2,0,0,1,5.750927989
35,Female,Urban,Low,1,Moderate,Neutral,1,Depression,In-Person,500,Affordable,No Platform Used,1,1,1,0,7.571616337
64,Female,Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,1500,Expensive,Wysa,3,1,1,0,6.697758036
30,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,1500,Expensive,YourDost,4,1,1,0,6.497871796
40,Female,Urban,Middle,1,Low,Positive,0,Depression,In-Person,2000,Affordable,BetterHelp,4,0,1,0,6.606896679
53,Female,Rural,Middle,1,Moderate,Neutral,0,Depression,Online,500,Expensive,Talkspace,5,1,0,0,8.401347269
55,Male,Urban,Low,1,High,Positive,1,Stress,In-Person,1500,Expensive,Talkspace,4,1,0,1,6.057840627
37,Female,Semi-Urban,Low,1,Moderate,Neutral,1,Anxiety,Online,750,Affordable,No Platform Used,2,0,1,0,3.235413593
25,Male,Rural,Low,1,Moderate,Positive,1,Anxiety,Online,1000,Expensive,BetterHelp,3,1,0,0,9.233003263
48,Male,Rural,Middle,1,Low,Positive,1,Depression,Online,500,Expensive,Talkspace,5,0,0,0,9.930639414
50,Male,Urban,Low,0,High,Neutral,0,Anxiety,Online,750,Expensive,No Platform Used,1,0,0,0,7.908624186
18,Male,Rural,Middle,1,Moderate,Neutral,1,Other,In-Person,500,Affordable,Wysa,2,0,1,0,5.297201036
44,Male,Semi-Urban,High,1,High,Positive,0,Depression,Online,2000,Expensive,No Platform Used,2,0,0,0,8.634317942
63,Female,Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,500,Expensive,YourDost,2,0,1,0,6.133107204
43,Male,Urban,Low,1,Moderate,Negative,0,Depression,Online,500,Expensive,No Platform Used,1,1,0,0,11.30050714
59,Female,Semi-Urban,Middle,0,Moderate,Neutral,0,Depression,In-Person,1500,Affordable,No Platform Used,1,0,0,1,4.987107057
63,Male,Urban,High,1,High,Positive,1,Depression,In-Person,750,Expensive,Wysa,2,0,1,0,8.588397863
26,Male,Urban,Middle,1,Low,Neutral,1,Depression,In-Person,500,Affordable,No Platform Used,4,0,0,1,6.989404507
60,Male,Urban,Middle,0,Low,Positive,1,Anxiety,Online,1000,Affordable,No Platform Used,2,0,0,0,9.395814737
20,Male,Rural,High,1,Moderate,Neutral,0,Anxiety,Online,500,Affordable,Talkspace,2,0,0,0,11.24538018
18,Female,Urban,Middle,1,High,Positive,1,Stress,Online,1000,Affordable,Wysa,4,0,1,0,7.628624087
60,Male,Urban,Middle,0,High,Neutral,1,Anxiety,Online,1500,Expensive,Talkspace,1,0,0,1,5.62280751
37,Male,Urban,Low,0,High,Neutral,1,Anxiety,Online,1500,Affordable,Wysa,4,1,1,0,8.563336128
54,Male,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,1000,Expensive,YourDost,5,0,1,0,7.858193311
62,Female,Semi-Urban,Middle,0,Moderate,Positive,1,Stress,Online,1500,Expensive,YourDost,3,0,0,0,1.990275751
51,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,1000,Affordable,Talkspace,1,0,1,0,10.3650658
51,Female,Urban,Low,0,Moderate,Neutral,0,Anxiety,Online,1000,Affordable,No Platform Used,2,0,0,0,4.978770784
53,Male,Urban,Middle,1,Low,Positive,1,Anxiety,Online,500,Expensive,Talkspace,2,0,1,0,1.886794578
64,Male,Urban,Low,0,Moderate,Positive,1,Stress,Online,500,Affordable,No Platform Used,1,0,0,1,6.204365077
19,Female,Urban,Middle,1,Moderate,Positive,0,Anxiety,In-Person,500,Affordable,No Platform Used,3,0,1,0,11.09168231
60,Male,Semi-Urban,Low,0,Moderate,Neutral,0,Anxiety,Online,750,Affordable,Wysa,4,0,0,0,6.835630386
61,Male,Semi-Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,1000,Expensive,No Platform Used,2,0,0,1,7.143163584
45,Male,Urban,Low,0,High,Positive,0,Anxiety,Online,750,Expensive,YourDost,4,0,1,0,8.517785282
40,Female,Urban,Low,1,Moderate,Negative,1,Stress,In-Person,500,Affordable,Wysa,3,0,0,0,9.287896971
46,Other,Urban,Middle,1,Moderate,Positive,0,Anxiety,In-Person,1500,Expensive,YourDost,3,1,1,0,7.851948098
61,Other,Urban,Middle,1,High,Positive,0,Anxiety,In-Person,1000,Affordable,Wysa,4,0,1,0,8.893461777
26,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Depression,In-Person,1000,Expensive,YourDost,3,1,0,1,11.74724354
37,Male,Rural,Middle,1,Low,Positive,1,Other,Online,1500,Affordable,YourDost,5,0,1,0,5.84352188
60,Female,Urban,High,1,High,Positive,1,Anxiety,In-Person,1000,Expensive,Wysa,3,0,0,0,5.908436339
63,Female,Rural,Middle,1,High,Neutral,0,Depression,In-Person,1500,Expensive,YourDost,3,0,1,0,10.42501364
30,Male,Urban,Low,0,Moderate,Positive,0,Anxiety,In-Person,1000,Expensive,YourDost,3,0,0,1,4.443430192
64,Female,Urban,Low,1,Moderate,Positive,1,Depression,In-Person,750,Expensive,No Platform Used,4,0,1,0,8.541560297
20,Male,Semi-Urban,Middle,1,High,Positive,1,Depression,Online,750,Affordable,No Platform Used,5,0,1,0,10.79195606
32,Female,Urban,Low,1,Moderate,Positive,1,Depression,Online,2000,Affordable,No Platform Used,4,1,0,0,5.584990474
35,Male,Urban,Middle,0,High,Positive,1,Anxiety,In-Person,1500,Affordable,Wysa,1,1,1,1,6.76580315
50,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Other,Online,500,Expensive,YourDost,4,0,1,1,6.335531056
64,Male,Rural,Middle,1,Moderate,Positive,1,Anxiety,Online,1500,Affordable,Wysa,4,0,0,0,6.388811577
59,Female,Rural,Middle,0,Moderate,Positive,1,Anxiety,Online,750,Expensive,YourDost,4,1,0,0,7.726272129
60,Female,Semi-Urban,Middle,1,Low,Neutral,0,Stress,Online,750,Expensive,YourDost,3,0,1,1,9.214482074
32,Female,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,750,Affordable,Wysa,4,1,1,0,4.389893754
41,Male,Urban,High,0,Low,Positive,1,Stress,Online,1500,Affordable,No Platform Used,1,0,1,0,5.832411669
60,Male,Rural,High,0,Moderate,Positive,1,Stress,In-Person,500,Affordable,Wysa,4,1,0,0,6.428022135
48,Male,Semi-Urban,Low,0,Moderate,Positive,0,Stress,Online,1000,Expensive,No Platform Used,4,0,1,0,12.26443802
62,Male,Urban,Middle,1,Low,Neutral,0,Depression,In-Person,1000,Affordable,Wysa,4,0,0,0,6.69416388
49,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,500,Expensive,No Platform Used,5,0,0,1,6.669175837
63,Female,Semi-Urban,Middle,0,Moderate,Positive,1,Anxiety,Online,750,Affordable,Wysa,4,0,0,0,8.869928544
21,Male,Semi-Urban,Middle,0,Low,Positive,1,Stress,Online,2000,Expensive,No Platform Used,1,0,0,0,9.64577944
29,Male,Rural,Low,1,Low,Neutral,1,Anxiety,Online,750,Expensive,Wysa,4,0,0,0,8.272326786
33,Male,Semi-Urban,Middle,1,High,Positive,1,Other,In-Person,1500,Affordable,No Platform Used,1,0,0,0,9.178495708
19,Male,Urban,High,0,Low,Neutral,0,Stress,Online,1000,Affordable,Wysa,1,0,1,0,6.115926166
19,Female,Urban,Middle,1,Low,Neutral,0,Stress,Online,500,Affordable,YourDost,4,0,1,0,7.733208037
41,Male,Urban,Middle,1,High,Positive,0,Other,In-Person,750,Affordable,BetterHelp,3,0,1,0,5.983732591
22,Male,Urban,Low,0,Moderate,Positive,1,Stress,Online,500,Expensive,Talkspace,3,0,1,1,10.49041109
39,Female,Urban,Low,0,Moderate,Positive,1,Stress,Online,1000,Expensive,BetterHelp,3,0,0,0,4.127094879
45,Male,Rural,Middle,1,High,Negative,1,Depression,Online,2000,Affordable,BetterHelp,4,0,0,0,6.07042202
22,Female,Urban,Middle,1,Low,Positive,1,Depression,Online,1500,Affordable,BetterHelp,4,1,1,0,5.267199568
28,Other,Urban,Middle,1,Low,Neutral,1,Stress,Online,750,Affordable,No Platform Used,4,0,0,0,8.708238081
59,Male,Urban,Low,1,Moderate,Positive,1,Stress,In-Person,1000,Expensive,Talkspace,5,0,1,0,2.240760546
28,Female,Urban,Middle,0,Moderate,Neutral,1,Other,Online,2000,Expensive,YourDost,2,1,0,0,10.27988365
21,Male,Urban,Low,1,Moderate,Neutral,1,Stress,Online,500,Affordable,BetterHelp,3,0,0,0,6.380541998
62,Female,Semi-Urban,Middle,0,Moderate,Positive,1,Depression,Online,750,Affordable,No Platform Used,5,1,1,1,6.841410248
29,Male,Semi-Urban,Middle,1,Low,Positive,0,Depression,Online,2000,Affordable,No Platform Used,4,0,0,0,4.196569285
54,Male,Rural,Low,1,Low,Neutral,0,Anxiety,Online,750,Affordable,YourDost,5,0,0,0,6.790250434
21,Female,Rural,Middle,0,Moderate,Positive,0,Stress,Online,1000,Affordable,BetterHelp,4,1,1,0,7.304926633
42,Male,Semi-Urban,Low,1,Low,Neutral,1,Other,Online,1000,Affordable,YourDost,4,0,0,1,9.09810528
41,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Anxiety,In-Person,1000,Affordable,Talkspace,1,0,1,0,6.024066606
63,Female,Urban,High,1,Low,Negative,0,Stress,Online,1000,Affordable,YourDost,1,0,0,0,9.314334913
27,Female,Rural,Middle,0,High,Positive,1,Anxiety,Online,2000,Expensive,Wysa,2,0,0,0,8.958471001
33,Male,Rural,Middle,1,High,Positive,0,Depression,In-Person,1500,Expensive,YourDost,5,0,1,0,7.289883747
59,Male,Urban,Middle,0,Moderate,Positive,0,Stress,In-Person,2000,Affordable,No Platform Used,2,0,0,1,7.218459432
60,Female,Urban,Middle,0,High,Positive,0,Stress,Online,500,Expensive,Talkspace,1,0,1,0,2.683560222
53,Female,Urban,High,1,Moderate,Neutral,1,Anxiety,Online,750,Expensive,No Platform Used,2,0,0,1,4.901551144
44,Female,Urban,Low,0,Moderate,Neutral,1,Depression,Online,750,Expensive,BetterHelp,2,0,0,0,8.675102231
41,Male,Urban,Middle,0,High,Positive,1,Stress,In-Person,750,Affordable,No Platform Used,5,0,0,0,6.032350185
48,Female,Rural,High,1,Moderate,Positive,1,Stress,Online,2000,Expensive,Wysa,2,1,1,0,5.474386745
35,Female,Urban,Middle,1,Moderate,Neutral,0,Stress,Online,750,Affordable,Talkspace,2,0,0,0,12.67163415
45,Male,Urban,Low,1,High,Positive,0,Anxiety,Online,500,Affordable,BetterHelp,5,0,1,1,9.030240765
55,Male,Semi-Urban,Low,1,Low,Positive,1,Other,Online,750,Affordable,Talkspace,5,0,1,1,8.186364365
22,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Stress,In-Person,750,Affordable,Wysa,3,0,0,0,5.772886577
19,Female,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,1500,Expensive,No Platform Used,1,1,0,0,5.680223799
24,Male,Urban,Low,1,High,Neutral,1,Other,Online,1000,Affordable,BetterHelp,3,1,0,0,5.082054052
56,Male,Urban,Middle,0,Low,Positive,0,Depression,Online,750,Expensive,Talkspace,5,1,1,0,7.508505018
43,Female,Urban,Low,0,High,Positive,1,Depression,In-Person,500,Expensive,YourDost,1,1,0,0,8.681330727
58,Female,Semi-Urban,Low,1,High,Neutral,0,Depression,Online,500,Affordable,YourDost,2,0,0,0,4.455306832
20,Female,Rural,Low,1,Moderate,Positive,0,Stress,In-Person,750,Expensive,YourDost,4,1,0,1,5.765421223
37,Female,Semi-Urban,Middle,1,High,Neutral,0,Anxiety,Online,500,Expensive,No Platform Used,3,0,0,0,9.421252777
54,Male,Rural,Low,1,Moderate,Positive,1,Anxiety,Online,1500,Expensive,No Platform Used,2,1,0,1,9.392196752
23,Female,Rural,High,1,Low,Positive,1,Depression,Online,1000,Affordable,YourDost,4,0,0,0,6.146837193
59,Male,Urban,Middle,0,Moderate,Neutral,1,Other,Online,2000,Affordable,No Platform Used,5,0,0,0,9.267502665
57,Female,Semi-Urban,High,1,Low,Negative,1,Depression,In-Person,1000,Affordable,No Platform Used,3,1,0,0,7.794997184
63,Female,Urban,Middle,1,Moderate,Positive,0,Stress,Online,2000,Expensive,No Platform Used,5,1,1,0,9.11170171
45,Male,Semi-Urban,Middle,1,Moderate,Positive,0,Stress,In-Person,1500,Affordable,BetterHelp,3,1,0,0,7.734487718
63,Male,Semi-Urban,Middle,0,High,Positive,1,Depression,Online,750,Expensive,No Platform Used,2,1,0,0,5.716378375
32,Male,Urban,Low,1,High,Neutral,1,Anxiety,In-Person,1500,Affordable,Talkspace,5,0,1,1,5.229220697
21,Female,Urban,High,0,High,Positive,1,Stress,Online,1000,Affordable,Talkspace,3,1,0,1,4.923574428
59,Female,Urban,Low,0,High,Positive,1,Anxiety,In-Person,500,Expensive,No Platform Used,5,0,0,0,7.090368031
49,Female,Urban,Low,1,Low,Positive,1,Stress,Online,2000,Affordable,No Platform Used,1,1,0,1,8.098420623
40,Male,Urban,Middle,1,Moderate,Positive,1,Stress,Online,500,Expensive,No Platform Used,1,0,0,1,6.555529941
18,Female,Urban,Middle,0,Moderate,Positive,0,Stress,Online,750,Expensive,No Platform Used,3,0,0,0,7.768105991
32,Female,Rural,Low,1,Moderate,Positive,0,Other,Online,1500,Expensive,No Platform Used,4,0,0,0,8.501660816
56,Male,Urban,High,1,Moderate,Positive,0,Depression,Online,500,Affordable,YourDost,4,0,1,0,8.027213092
54,Male,Urban,Low,1,High,Positive,0,Anxiety,Online,750,Expensive,Talkspace,4,0,1,0,8.759239664
30,Female,Urban,Middle,1,High,Neutral,0,Other,Online,2000,Affordable,BetterHelp,1,0,0,0,7.606420598
42,Male,Urban,Low,1,High,Positive,1,Stress,In-Person,500,Affordable,Wysa,4,0,1,0,7.983548807
25,Female,Urban,Middle,0,Moderate,Neutral,1,Stress,Online,2000,Expensive,BetterHelp,4,0,0,1,7.886099545
37,Male,Urban,Low,0,Moderate,Positive,1,Anxiety,Online,1000,Expensive,No Platform Used,3,0,1,0,6.968964085
41,Female,Rural,Middle,0,Moderate,Neutral,0,Depression,In-Person,1000,Affordable,Talkspace,5,1,0,1,10.06663344
51,Male,Semi-Urban,High,1,Moderate,Negative,1,Anxiety,Online,750,Expensive,BetterHelp,2,1,0,0,3.897472942
33,Male,Urban,Low,1,Moderate,Positive,1,Anxiety,Online,1500,Affordable,No Platform Used,4,0,0,0,6.881047083
19,Female,Semi-Urban,Middle,0,Low,Neutral,1,Depression,In-Person,500,Expensive,No Platform Used,5,0,1,0,4.985716627
29,Female,Urban,Low,1,Moderate,Neutral,0,Depression,In-Person,750,Expensive,Wysa,3,0,0,0,6.928258983
55,Female,Urban,High,1,Moderate,Positive,1,Depression,Online,1000,Affordable,Wysa,2,0,0,0,9.209986359
52,Male,Semi-Urban,Middle,0,Moderate,Positive,0,Stress,In-Person,1000,Affordable,Wysa,4,0,0,0,5.145626115
18,Male,Urban,Low,0,Low,Positive,0,Stress,In-Person,1500,Affordable,YourDost,1,0,0,1,7.640560818
46,Male,Urban,Middle,0,Moderate,Positive,1,Stress,In-Person,2000,Affordable,YourDost,5,0,1,1,7.585583375
30,Female,Rural,Low,0,Moderate,Positive,1,Stress,Online,500,Expensive,Talkspace,2,0,0,0,8.931260699
29,Male,Rural,Middle,1,Moderate,Positive,0,Anxiety,Online,1500,Affordable,No Platform Used,4,0,0,0,8.297774303
36,Male,Urban,Low,1,Low,Positive,1,Stress,Online,500,Affordable,No Platform Used,1,1,0,0,7.59170528
19,Male,Semi-Urban,Middle,1,High,Positive,1,Other,In-Person,2000,Expensive,YourDost,4,1,0,0,5.783220037
32,Male,Urban,Low,0,Moderate,Neutral,1,Stress,In-Person,1500,Affordable,Talkspace,5,0,0,0,10.39790101
18,Male,Urban,Middle,0,High,Positive,1,Anxiety,Online,750,Affordable,Talkspace,5,0,1,0,7.561541482
55,Male,Urban,High,1,Moderate,Neutral,1,Depression,Online,500,Expensive,Talkspace,1,1,0,1,7.357114664
